Rank,Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,Wii Sports,Wii,Sports,Nintendo,41490000,29020000,3770000,8460000,82740000
2,Super Mario Bros.,NES,Platform,Nintendo,29080000,3580000,6810000,770000,40240000
3,Mario Kart Wii,Wii,Racing,Nintendo,15850000,12880000,3790000,3310000,35820000
4,Wii Sports Resort,Wii,Sports,Nintendo,15750000,11010000,3280000,2960000,33000000
5,Pokemon Red/Pokemon Blue,GB,Role-Playing,Nintendo,11270000,8890000,10220000,1000000,31370000
6,Tetris,GB,Puzzle,Nintendo,23200000,2260000,4220000,580000,30260000
7,New Super Mario Bros.,DS,Platform,Nintendo,11380000,9230000,6500000,2900000,30010000
8,Wii Play,Wii,Misc,Nintendo,14030000,9200000,2930000,2850000,29020000
9,New Super Mario Bros. Wii,Wii,Platform,Nintendo,14590000,7060000,4700000,2260000,28620000
10,Duck Hunt,NES,Shooter,Nintendo,26930000,630000,280000,470000,28310000
11,Nintendogs,DS,Simulation,Nintendo,9070000,11000000,1930000,2750000,24760000
12,Mario Kart DS,DS,Racing,Nintendo,9810000,7570000,4130000,1920000,23420000
13,Pokemon Gold/Pokemon Silver,GB,Role-Playing,Nintendo,9000000,6180000,7200000,710000,23100000
14,Wii Fit,Wii,Sports,Nintendo,8940000,8029999,3600000,2150000,22720000
15,Wii Fit Plus,Wii,Sports,Nintendo,9090000,8590000,2530000,1790000,22000000
16,Kinect Adventures!,X360,Misc,Microsoft Game Studios,14970000,4940000,240000,1670000,21820000
17,Grand Theft Auto V,PS3,Action,Take-Two Interactive,7010000,9270000,970000,4139999,21400000
18,Grand Theft Auto: San Andreas,PS2,Action,Take-Two Interactive,9430000,400000,410000,10570000,20810000
19,Super Mario World,SNES,Platform,Nintendo,12780000,3750000,3540000,550000,20610000
20,Brain Age: Train Your Brain in Minutes a Day,DS,Misc,Nintendo,4750000,9260000,4160000,2049999,20220000
21,Pokemon Diamond/Pokemon Pearl,DS,Role-Playing,Nintendo,6420000,4520000,6040000,1370000,18360000
22,Super Mario Land,GB,Platform,Nintendo,10830000,2710000,4179999,420000,18140000
23,Super Mario Bros. 3,NES,Platform,Nintendo,9540000,3440000,3840000,460000,17280000
24,Grand Theft Auto V,X360,Action,Take-Two Interactive,9630000,5310000,60000,1380000,16379999
25,Grand Theft Auto: Vice City,PS2,Action,Take-Two Interactive,8410000,5490000,470000,1780000,16149999
26,Pokemon Ruby/Pokemon Sapphire,GBA,Role-Playing,Nintendo,6060000,3900000,5380000,500000,15850000
27,Pokemon Black/Pokemon White,DS,Role-Playing,Nintendo,5570000,3280000,5650000,820000,15320000
28,Brain Age 2: More Training in Minutes a Day,DS,Puzzle,Nintendo,3440000,5360000,5320000,1180000,15300000
29,Gran Turismo 3: A-Spec,PS2,Racing,Sony Computer Entertainment,6850000,5090000,1870000,1160000,14980000
30,Call of Duty: Modern Warfare 3,X360,Shooter,Activision,9030000,4280000,130000,1320000,14760000
31,Pokémon Yellow: Special Pikachu Edition,GB,Role-Playing,Nintendo,5890000,5040000,3120000,590000,14640000
32,Call of Duty: Black Ops,X360,Shooter,Activision,9670000,3730000,110000,1130000,14640000
33,Pokemon X/Pokemon Y,3DS,Role-Playing,Nintendo,5170000,4050000,4340000,790000,14350000
34,Call of Duty: Black Ops 3,PS4,Shooter,Activision,5770000,5810000,350000,2310000,14240000
35,Call of Duty: Black Ops II,PS3,Shooter,Activision,4990000,5880000,650000,2520000,14030000
36,Call of Duty: Black Ops II,X360,Shooter,Activision,8250000,4300000,70000,1120000,13730000
37,Call of Duty: Modern Warfare 2,X360,Shooter,Activision,8520000,3630000,80000,1290000,13510000
38,Call of Duty: Modern Warfare 3,PS3,Shooter,Activision,5540000,5820000,490000,1620000,13460000
39,Grand Theft Auto III,PS2,Action,Take-Two Interactive,6990000,4510000,300000,1300000,13100000
40,Super Smash Bros. Brawl,Wii,Fighting,Nintendo,6750000,2610000,2660000,1020000,13040000
41,Call of Duty: Black Ops,PS3,Shooter,Activision,5980000,4440000,480000,1830000,12730000
42,Animal Crossing: Wild World,DS,Simulation,Nintendo,2550000,3520000,5330000,880000,12270000
43,Mario Kart 7,3DS,Racing,Nintendo,4740000,3910000,2670000,890000,12210000
44,Halo 3,X360,Shooter,Microsoft Game Studios,7970000,2830000,130000,1210000,12140000
45,Grand Theft Auto V,PS4,Action,Take-Two Interactive,3800000,5810000,360000,2020000,11980000
46,Pokemon HeartGold/Pokemon SoulSilver,DS,Action,Nintendo,4400000,2770000,3960000,770000,11900000
